GPU Prolog Script v0.30
This is a GPU node.
Enough GPUs available.
Allocating card 6
['--model', 'complex', '--data', 'pathme', '--loss', 'pair_hinge', '--epochs', '500', '--learning-rate', '0.012', '--nb-negs', '6', '--batch-size', '1024', '--reg-weight', '8.181e-08', '--loss-margin', '4', '--embedding-size', '200', '--quiet', '--save_model_name', 'cplexPH_batch1024_es_200_reg_n3_rw_8181_lr_012_m_4_nbn_6_pathme', '--testrel', 'cplexPH_PATHME_relation.csv', '--rare']
MCL False
INFO:pathme_cp_PH.py:Valid: False
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:NOT MC
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:valid: False
INFO:pathme_cp_PH.py:Epoch 146/500	Loss 154.4065 ± 34.8859
INFO:pathme_cp_PH.py:Epoch 147/500	Loss 152.5274 ± 32.7375
INFO:pathme_cp_PH.py:Epoch 148/500	Loss 151.1193 ± 32.7694
INFO:pathme_cp_PH.py:Epoch 149/500	Loss 150.5909 ± 31.2070
INFO:pathme_cp_PH.py:Epoch 150/500	Loss 154.1688 ± 33.2386
INFO:pathme_cp_PH.py:Epoch 151/500	Loss 151.9373 ± 30.7178
INFO:pathme_cp_PH.py:Epoch 152/500	Loss 148.4878 ± 31.8709
INFO:pathme_cp_PH.py:Epoch 153/500	Loss 145.3258 ± 30.7176
INFO:pathme_cp_PH.py:Epoch 154/500	Loss 151.9384 ± 31.4796
INFO:pathme_cp_PH.py:Epoch 155/500	Loss 151.8103 ± 31.8284
INFO:pathme_cp_PH.py:Epoch 156/500	Loss 153.7728 ± 32.8424
INFO:pathme_cp_PH.py:Epoch 157/500	Loss 149.1383 ± 32.2340
INFO:pathme_cp_PH.py:Epoch 158/500	Loss 149.4225 ± 30.9278
INFO:pathme_cp_PH.py:Epoch 159/500	Loss 149.2513 ± 33.1056
INFO:pathme_cp_PH.py:Epoch 160/500	Loss 149.9525 ± 31.7206
INFO:pathme_cp_PH.py:Epoch 161/500	Loss 149.2371 ± 34.0962
INFO:pathme_cp_PH.py:Epoch 162/500	Loss 157.1235 ± 31.2244
INFO:pathme_cp_PH.py:Epoch 163/500	Loss 146.6865 ± 27.7244
INFO:pathme_cp_PH.py:Epoch 164/500	Loss 150.8465 ± 30.4823
INFO:pathme_cp_PH.py:Epoch 165/500	Loss 153.1240 ± 33.4987
INFO:pathme_cp_PH.py:Epoch 166/500	Loss 152.2172 ± 30.9224
INFO:pathme_cp_PH.py:Epoch 167/500	Loss 151.0484 ± 33.1136
INFO:pathme_cp_PH.py:Epoch 168/500	Loss 146.7821 ± 31.3471
INFO:pathme_cp_PH.py:Epoch 169/500	Loss 153.1703 ± 32.6959
INFO:pathme_cp_PH.py:Epoch 170/500	Loss 146.7356 ± 34.7197
INFO:pathme_cp_PH.py:Epoch 171/500	Loss 149.8450 ± 36.1168
INFO:pathme_cp_PH.py:Epoch 172/500	Loss 149.6472 ± 33.5954
INFO:pathme_cp_PH.py:Epoch 173/500	Loss 145.3467 ± 31.3036
INFO:pathme_cp_PH.py:Epoch 174/500	Loss 145.4602 ± 31.2259
INFO:pathme_cp_PH.py:Epoch 175/500	Loss 146.4040 ± 30.9176
INFO:pathme_cp_PH.py:Epoch 176/500	Loss 148.7552 ± 35.1789
INFO:pathme_cp_PH.py:Epoch 177/500	Loss 147.9755 ± 32.5444
INFO:pathme_cp_PH.py:Epoch 178/500	Loss 145.0934 ± 32.0675
INFO:pathme_cp_PH.py:Epoch 179/500	Loss 148.6991 ± 31.9576
INFO:pathme_cp_PH.py:Epoch 180/500	Loss 147.7158 ± 30.6648
INFO:pathme_cp_PH.py:Epoch 181/500	Loss 148.0740 ± 31.0793
INFO:pathme_cp_PH.py:Epoch 182/500	Loss 151.7777 ± 30.9939
INFO:pathme_cp_PH.py:Epoch 183/500	Loss 152.6325 ± 30.6412
INFO:pathme_cp_PH.py:Epoch 184/500	Loss 145.3446 ± 26.6332
INFO:pathme_cp_PH.py:Epoch 185/500	Loss 152.0912 ± 35.0339
INFO:pathme_cp_PH.py:Epoch 186/500	Loss 141.0447 ± 31.2382
INFO:pathme_cp_PH.py:Epoch 187/500	Loss 146.5851 ± 32.2851
INFO:pathme_cp_PH.py:Epoch 188/500	Loss 145.5307 ± 32.2779
INFO:pathme_cp_PH.py:Epoch 189/500	Loss 143.6774 ± 32.0775
INFO:pathme_cp_PH.py:Epoch 190/500	Loss 143.8508 ± 29.5767
INFO:pathme_cp_PH.py:Epoch 191/500	Loss 137.8905 ± 32.2091
INFO:pathme_cp_PH.py:Epoch 192/500	Loss 144.8628 ± 26.6461
INFO:pathme_cp_PH.py:Epoch 193/500	Loss 146.8108 ± 31.6448
INFO:pathme_cp_PH.py:Epoch 194/500	Loss 154.2495 ± 34.0618
INFO:pathme_cp_PH.py:Epoch 195/500	Loss 145.7989 ± 29.7893
INFO:pathme_cp_PH.py:Epoch 196/500	Loss 153.7628 ± 33.8567
INFO:pathme_cp_PH.py:Epoch 197/500	Loss 149.5091 ± 32.1309
INFO:pathme_cp_PH.py:Epoch 198/500	Loss 143.5587 ± 31.7176
INFO:pathme_cp_PH.py:Epoch 199/500	Loss 142.7926 ± 32.7638
INFO:pathme_cp_PH.py:Epoch 200/500	Loss 141.3121 ± 27.9318
INFO:pathme_cp_PH.py:Epoch 201/500	Loss 138.8449 ± 32.6946
INFO:pathme_cp_PH.py:Epoch 202/500	Loss 150.0083 ± 32.6118
INFO:pathme_cp_PH.py:Epoch 203/500	Loss 140.2349 ± 31.1019
INFO:pathme_cp_PH.py:Epoch 204/500	Loss 150.8113 ± 31.8018
INFO:pathme_cp_PH.py:Epoch 205/500	Loss 140.3978 ± 28.8009
INFO:pathme_cp_PH.py:Epoch 206/500	Loss 146.3227 ± 34.6569
INFO:pathme_cp_PH.py:Epoch 207/500	Loss 149.9031 ± 32.5626
INFO:pathme_cp_PH.py:Epoch 208/500	Loss 141.6135 ± 32.0520
INFO:pathme_cp_PH.py:Epoch 209/500	Loss 144.9415 ± 33.1605
INFO:pathme_cp_PH.py:Epoch 210/500	Loss 144.5022 ± 32.1107
INFO:pathme_cp_PH.py:Epoch 211/500	Loss 141.5612 ± 31.0838
INFO:pathme_cp_PH.py:Epoch 212/500	Loss 147.0314 ± 28.6670
INFO:pathme_cp_PH.py:Epoch 213/500	Loss 150.3908 ± 32.8362
INFO:pathme_cp_PH.py:Epoch 214/500	Loss 140.5721 ± 28.5477
INFO:pathme_cp_PH.py:Epoch 215/500	Loss 143.9453 ± 31.9623
INFO:pathme_cp_PH.py:Epoch 216/500	Loss 138.0316 ± 30.8715
INFO:pathme_cp_PH.py:Epoch 217/500	Loss 139.9356 ± 32.4972
INFO:pathme_cp_PH.py:Epoch 218/500	Loss 149.1888 ± 31.0842
INFO:pathme_cp_PH.py:Epoch 219/500	Loss 141.1115 ± 30.3000
INFO:pathme_cp_PH.py:Epoch 220/500	Loss 146.7213 ± 30.9513
INFO:pathme_cp_PH.py:Epoch 221/500	Loss 140.3786 ± 34.5460
INFO:pathme_cp_PH.py:Epoch 222/500	Loss 143.4125 ± 30.4580
INFO:pathme_cp_PH.py:Epoch 223/500	Loss 143.6365 ± 26.3284
INFO:pathme_cp_PH.py:Epoch 224/500	Loss 137.6717 ± 27.4589
INFO:pathme_cp_PH.py:Epoch 225/500	Loss 140.4577 ± 28.5623
INFO:pathme_cp_PH.py:Epoch 226/500	Loss 145.7706 ± 32.1164
INFO:pathme_cp_PH.py:Epoch 227/500	Loss 137.8439 ± 29.6710
INFO:pathme_cp_PH.py:Epoch 228/500	Loss 143.4648 ± 34.7567
INFO:pathme_cp_PH.py:Epoch 229/500	Loss 145.2985 ± 30.9176
INFO:pathme_cp_PH.py:Epoch 230/500	Loss 142.4508 ± 38.6285
INFO:pathme_cp_PH.py:Epoch 231/500	Loss 134.7789 ± 25.8326
INFO:pathme_cp_PH.py:Epoch 232/500	Loss 144.1927 ± 34.0109
INFO:pathme_cp_PH.py:Epoch 233/500	Loss 136.4804 ± 31.1604
INFO:pathme_cp_PH.py:Epoch 234/500	Loss 135.7569 ± 29.3146
INFO:pathme_cp_PH.py:Epoch 235/500	Loss 148.4080 ± 31.1463
INFO:pathme_cp_PH.py:Epoch 236/500	Loss 144.1082 ± 31.2109
INFO:pathme_cp_PH.py:Epoch 237/500	Loss 141.1810 ± 32.9385
INFO:pathme_cp_PH.py:Epoch 238/500	Loss 138.6502 ± 33.0975
INFO:pathme_cp_PH.py:Epoch 239/500	Loss 139.9833 ± 28.1282
INFO:pathme_cp_PH.py:Epoch 240/500	Loss 145.3887 ± 30.6520
INFO:pathme_cp_PH.py:Epoch 241/500	Loss 142.6069 ± 32.0865
INFO:pathme_cp_PH.py:Epoch 242/500	Loss 140.0564 ± 32.2129
INFO:pathme_cp_PH.py:Epoch 243/500	Loss 142.6276 ± 33.4568
INFO:pathme_cp_PH.py:Epoch 244/500	Loss 141.8771 ± 29.6305
INFO:pathme_cp_PH.py:Epoch 245/500	Loss 140.2527 ± 30.2976
INFO:pathme_cp_PH.py:Epoch 246/500	Loss 148.3313 ± 31.8838
INFO:pathme_cp_PH.py:Epoch 247/500	Loss 146.2660 ± 30.3511
INFO:pathme_cp_PH.py:Epoch 248/500	Loss 141.7220 ± 32.6675
INFO:pathme_cp_PH.py:Epoch 249/500	Loss 137.1001 ± 31.7504
INFO:pathme_cp_PH.py:Epoch 250/500	Loss 141.0825 ± 30.6988
INFO:pathme_cp_PH.py:Epoch 251/500	Loss 139.3428 ± 26.3937
INFO:pathme_cp_PH.py:Epoch 252/500	Loss 137.7292 ± 30.0006
INFO:pathme_cp_PH.py:Epoch 253/500	Loss 141.0939 ± 32.4868
INFO:pathme_cp_PH.py:Epoch 254/500	Loss 140.2130 ± 33.0438
INFO:pathme_cp_PH.py:Epoch 255/500	Loss 140.8682 ± 28.9873
INFO:pathme_cp_PH.py:Epoch 256/500	Loss 142.7615 ± 33.2713
INFO:pathme_cp_PH.py:Epoch 257/500	Loss 142.9725 ± 31.8567
INFO:pathme_cp_PH.py:Epoch 258/500	Loss 139.6506 ± 28.3569
INFO:pathme_cp_PH.py:Epoch 259/500	Loss 140.4934 ± 32.9550
INFO:pathme_cp_PH.py:Epoch 260/500	Loss 141.4783 ± 30.0899
INFO:pathme_cp_PH.py:Epoch 261/500	Loss 143.6696 ± 26.5518
INFO:pathme_cp_PH.py:Epoch 262/500	Loss 134.5813 ± 32.6864
INFO:pathme_cp_PH.py:Epoch 263/500	Loss 145.4868 ± 27.9796
