['--model', 'complex', '--data', 'covid', '--loss', 'pw_logistic', '--epochs', '600', '--learning-rate', '0.278', '--batch-size', '2048', '--reg-weight', '7.01e-08', '--embedding-size', '200', '--nb-negs', '50', '--quiet', '--save_model_name', 'cplex_covid_PW_lr_278_bsize_2048_rw_7010_es_200_nbneg_50_forREL', '--testrel', 'best_cplex_covidPW_rel.csv']
MCL False
INFO:best_cplex_covid_PW.py:Valid: False
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:NOT MC
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:valid: False
INFO:best_cplex_covid_PW.py:Epoch 151/600	Loss 1141.6288 ± 57.0153
INFO:best_cplex_covid_PW.py:Epoch 152/600	Loss 1146.7866 ± 53.9664
INFO:best_cplex_covid_PW.py:Epoch 153/600	Loss 1141.4119 ± 57.8800
INFO:best_cplex_covid_PW.py:Epoch 154/600	Loss 1142.4601 ± 60.0048
INFO:best_cplex_covid_PW.py:Epoch 155/600	Loss 1139.5208 ± 55.4617
INFO:best_cplex_covid_PW.py:Epoch 156/600	Loss 1141.7707 ± 59.0367
INFO:best_cplex_covid_PW.py:Epoch 157/600	Loss 1143.2107 ± 59.9078
INFO:best_cplex_covid_PW.py:Epoch 158/600	Loss 1143.3706 ± 57.4813
INFO:best_cplex_covid_PW.py:Epoch 159/600	Loss 1138.2586 ± 55.9637
INFO:best_cplex_covid_PW.py:Epoch 160/600	Loss 1139.2979 ± 54.1051
INFO:best_cplex_covid_PW.py:Epoch 161/600	Loss 1137.1005 ± 55.7276
INFO:best_cplex_covid_PW.py:Epoch 162/600	Loss 1133.8708 ± 53.3412
INFO:best_cplex_covid_PW.py:Epoch 163/600	Loss 1135.2511 ± 54.3676
INFO:best_cplex_covid_PW.py:Epoch 164/600	Loss 1132.2343 ± 54.7910
INFO:best_cplex_covid_PW.py:Epoch 165/600	Loss 1132.8636 ± 57.8909
INFO:best_cplex_covid_PW.py:Epoch 166/600	Loss 1128.7271 ± 53.9230
INFO:best_cplex_covid_PW.py:Epoch 167/600	Loss 1129.2870 ± 54.7167
INFO:best_cplex_covid_PW.py:Epoch 168/600	Loss 1131.4552 ± 54.7827
INFO:best_cplex_covid_PW.py:Epoch 169/600	Loss 1129.3489 ± 55.9395
INFO:best_cplex_covid_PW.py:Epoch 170/600	Loss 1131.0707 ± 56.0108
INFO:best_cplex_covid_PW.py:Epoch 171/600	Loss 1134.4688 ± 57.2432
INFO:best_cplex_covid_PW.py:Epoch 172/600	Loss 1133.7414 ± 55.9558
INFO:best_cplex_covid_PW.py:Epoch 173/600	Loss 1131.4755 ± 58.1266
INFO:best_cplex_covid_PW.py:Epoch 174/600	Loss 1129.5395 ± 54.8206
INFO:best_cplex_covid_PW.py:Epoch 175/600	Loss 1129.3236 ± 60.1175
INFO:best_cplex_covid_PW.py:Epoch 176/600	Loss 1129.1238 ± 56.2568
INFO:best_cplex_covid_PW.py:Epoch 177/600	Loss 1127.7165 ± 55.6110
INFO:best_cplex_covid_PW.py:Epoch 178/600	Loss 1126.1658 ± 54.1044
INFO:best_cplex_covid_PW.py:Epoch 179/600	Loss 1122.6437 ± 57.7253
INFO:best_cplex_covid_PW.py:Epoch 180/600	Loss 1125.3349 ± 56.2431
INFO:best_cplex_covid_PW.py:Epoch 181/600	Loss 1125.6468 ± 51.1571
INFO:best_cplex_covid_PW.py:Epoch 182/600	Loss 1125.6088 ± 53.2667
INFO:best_cplex_covid_PW.py:Epoch 183/600	Loss 1125.8854 ± 52.2164
INFO:best_cplex_covid_PW.py:Epoch 184/600	Loss 1120.3881 ± 55.4910
INFO:best_cplex_covid_PW.py:Epoch 185/600	Loss 1122.6148 ± 50.1004
INFO:best_cplex_covid_PW.py:Epoch 186/600	Loss 1125.9830 ± 56.7279
INFO:best_cplex_covid_PW.py:Epoch 187/600	Loss 1119.7442 ± 52.9328
INFO:best_cplex_covid_PW.py:Epoch 188/600	Loss 1123.3390 ± 53.2413
INFO:best_cplex_covid_PW.py:Epoch 189/600	Loss 1123.0180 ± 53.3784
INFO:best_cplex_covid_PW.py:Epoch 190/600	Loss 1125.7164 ± 49.9716
INFO:best_cplex_covid_PW.py:Epoch 191/600	Loss 1117.1394 ± 53.0315
INFO:best_cplex_covid_PW.py:Epoch 192/600	Loss 1121.0180 ± 52.4258
INFO:best_cplex_covid_PW.py:Epoch 193/600	Loss 1115.2200 ± 56.3996
INFO:best_cplex_covid_PW.py:Epoch 194/600	Loss 1113.9359 ± 52.7937
INFO:best_cplex_covid_PW.py:Epoch 195/600	Loss 1116.1663 ± 54.4089
INFO:best_cplex_covid_PW.py:Epoch 196/600	Loss 1115.0272 ± 53.1306
INFO:best_cplex_covid_PW.py:Epoch 197/600	Loss 1113.5102 ± 46.7945
